ts,used_mib,free_mib
1780337184.531398729,10255, 1839
1780337185.576753636,10255, 1839
1780337186.616786597,10255, 1839
1780337187.665499212,10255, 1839
1780337188.705756533,10255, 1839
1780337189.748720272,10255, 1839
1780337190.792621905,10255, 1839
1780337191.831736649,10255, 1839
1780337192.872376146,10255, 1839
1780337193.913308461,10255, 1839
1780337194.952414717,10255, 1839
1780337195.994764449,10255, 1839
1780337197.033093407,10255, 1839
1780337198.076101809,10255, 1839
1780337199.114849663,10255, 1839
1780337200.156568851,10255, 1839
1780337201.194821852,10255, 1839
1780337202.237140718,10255, 1839
1780337203.281276403,10255, 1839
1780337204.384082991,10255, 1839
1780337205.425044255,10255, 1839
1780337206.464745428,10255, 1839
1780337207.510386168,10255, 1839
1780337208.555022585,10255, 1839
1780337209.596604034,10255, 1839
1780337210.641766217,10255, 1839
1780337211.682030024,10255, 1839
1780337212.719797816,10255, 1839
1780337213.763733063,10255, 1839
1780337214.807768505,10255, 1839
1780337215.857780918,10255, 1839
1780337216.896043160,10255, 1839
1780337217.945190960,10255, 1839
1780337218.986035364,10255, 1839
1780337220.037832047,10255, 1839
1780337221.093995437,10255, 1839
1780337222.139363133,10255, 1839
1780337223.176342585,10255, 1839
1780337224.213886558,10255, 1839
1780337225.254077461,10255, 1839
1780337226.314085801,10255, 1839
1780337227.351484355,10255, 1839
1780337228.389085164,10255, 1839
1780337229.432711279,10255, 1839
1780337230.474073891,10255, 1839
1780337231.519681940,10255, 1839
1780337232.562833267,10255, 1839
1780337233.602545466,10255, 1839
1780337234.644290507,10255, 1839
1780337235.681710764,10255, 1839
1780337236.723274596,10255, 1839
1780337237.767073791,10255, 1839
1780337238.812512302,10255, 1839
1780337239.852709569,10255, 1839
1780337240.900438954,10255, 1839
1780337241.939413185,10255, 1839
1780337242.989623560,10255, 1839
1780337244.029352079,10255, 1839
1780337245.099801469,10255, 1839
1780337246.138842780,10255, 1839
1780337247.197415305,10255, 1839
1780337248.241557318,10257, 1837
1780337249.282100065,10257, 1837
1780337250.321139212,10257, 1837
1780337251.360539776,10257, 1837
1780337252.404261585,10257, 1837
1780337253.446740192,10257, 1837
1780337254.487951189,10257, 1837
1780337255.525813794,10257, 1837
1780337256.564909573,10257, 1837
