ts,used_mib,free_mib
1780257320.824464830,766, 11328
1780257321.866074471,766, 11328
1780257322.905177397,805, 11289
1780257323.948829442,778, 11316
1780257324.998385428,805, 11289
1780257326.044674685,834, 11260
1780257327.083108684,806, 11288
1780257328.133503065,834, 11260
1780257329.170313626,835, 11259
1780257330.208091245,835, 11259
1780257331.245103637,804, 11290
1780257332.291383896,829, 11265
1780257333.338488413,832, 11262
1780257334.381264421,816, 11278
1780257335.417462603,799, 11295
1780257336.462379271,796, 11298
1780257337.503112941,826, 11268
1780257338.544051681,813, 11281
1780257339.591703300,800, 11294
1780257340.638536645,798, 11296
1780257341.837055068,784, 11310
1780257342.875517015,784, 11310
1780257343.913565963,797, 11297
1780257344.958833780,783, 11311
1780257346.002684148,814, 11280
1780257347.043111194,786, 11308
1780257348.082334064,799, 11295
1780257349.117965955,797, 11297
1780257350.155819389,799, 11295
1780257351.193395222,799, 11295
1780257352.243010414,799, 11295
1780257353.282601429,783, 11311
1780257354.320155318,813, 11281
1780257355.363738067,785, 11309
1780257356.407615304,797, 11297
1780257357.448940786,783, 11311
1780257358.491775252,797, 11297
1780257359.538563990,783, 11311
1780257360.578393214,797, 11297
1780257361.614027393,790, 11304
1780257362.649736815,804, 11290
1780257363.698111446,804, 11290
1780257364.736062925,777, 11317
1780257365.778104698,777, 11317
1780257366.813345420,791, 11303
1780257367.854710104,777, 11317
1780257368.905960439,813, 11281
1780257369.946807162,799, 11295
1780257370.986797299,813, 11281
1780257372.239064869,785, 11309
1780257373.305656948,799, 11295
1780257374.343668597,799, 11295
1780257375.384458454,799, 11295
1780257376.430654638,811, 11283
1780257377.473426694,813, 11281
1780257378.520356408,799, 11295
1780257379.560089035,799, 11295
1780257380.598535587,799, 11295
1780257381.659058229,783, 11311
1780257382.702276781,811, 11283
1780257383.737704116,813, 11281
1780257384.779527375,785, 11309
1780257385.821679202,783, 11311
1780257386.861392745,783, 11311
1780257387.905171168,783, 11311
1780257388.946825131,783, 11311
1780257390.027281383,809, 11285
1780257391.127972639,781, 11313
1780257392.171922990,752, 11342
1780257393.214111627,752, 11342
1780257394.252621959,783, 11311
1780257395.287237518,748, 11346
1780257396.325526164,748, 11346
1780257397.365923670,746, 11348
1780257398.410415868,746, 11348
1780257399.455140045,783, 11311
1780257400.493127345,756, 11338
1780257401.628134326,781, 11313
1780257402.676435346,783, 11311
1780257403.727353330,770, 11324
1780257404.764184417,756, 11338
1780257405.806796592,754, 11340
1780257406.858017782,754, 11340
1780257407.899393922,781, 11313
1780257408.945359382,756, 11338
1780257409.988658708,756, 11338
1780257411.048975920,754, 11340
1780257412.090341788,783, 11311
1780257413.131519578,756, 11338
1780257414.170755963,767, 11327
1780257415.212647359,767, 11327
1780257416.252821171,781, 11313
1780257417.290893062,769, 11325
1780257418.330808301,755, 11339
1780257419.373882061,769, 11325
1780257420.434076931,781, 11313
1780257421.474461571,767, 11327
1780257422.528940614,753, 11341
1780257423.575723756,753, 11341
1780257424.617778145,753, 11341
1780257425.658225375,766, 11328
1780257426.706988897,751, 11343
1780257427.811554957,747, 11347
1780257428.856670087,747, 11347
1780257429.892267270,761, 11333
1780257430.929698368,774, 11320
1780257432.056077795,747, 11347
1780257433.093783564,747, 11347
1780257434.143811991,783, 11311
1780257435.192491154,769, 11325
1780257436.236901959,769, 11325
1780257437.279291689,769, 11325
1780257438.325139334,769, 11325
1780257439.368192868,753, 11341
1780257440.414485105,753, 11341
1780257441.463118110,753, 11341
1780257442.498487916,780, 11314
1780257443.544719915,753, 11341
1780257444.583138042,743, 11351
1780257445.621855882,743, 11351
1780257446.662853672,770, 11324
1780257447.701623810,756, 11338
1780257448.741380025,797, 11297
1780257449.792194825,756, 11338
1780257450.830558328,754, 11340
1780257451.867684691,754, 11340
1780257452.910363239,754, 11340
1780257453.947963179,747, 11347
1780257454.985310329,739, 11355
1780257456.026440534,767, 11327
1780257457.069302601,747, 11347
1780257458.107369428,747, 11347
1780257459.144934072,775, 11319
1780257460.189356484,747, 11347
1780257461.304403896,770, 11324
1780257462.342147070,783, 11311
1780257463.393572534,756, 11338
1780257464.461863526,756, 11338
1780257465.510203008,754, 11340
1780257466.547003194,754, 11340
1780257467.590429343,754, 11340
1780257468.627909486,739, 11355
1780257469.667724731,744, 11350
1780257470.704153982,744, 11350
1780257471.742098933,744, 11350
1780257472.783956128,744, 11350
1780257473.824787477,744, 11350
1780257474.870045028,739, 11355
1780257475.910107065,739, 11355
1780257476.949118511,739, 11355
1780257477.992101682,779, 11315
1780257479.026231222,779, 11315
1780257480.060934423,751, 11343
1780257481.099369126,747, 11347
1780257482.139573899,747, 11347
1780257483.187056025,747, 11347
1780257484.227116322,747, 11347
1780257485.273795197,739, 11355
1780257486.317054076,739, 11355
1780257487.355730139,735, 11359
1780257488.406117702,735, 11359
1780257489.500324129,762, 11332
1780257490.545852804,783, 11311
1780257491.624591285,783, 11311
1780257492.681236986,783, 11311
1780257493.723912365,770, 11324
1780257494.773584129,770, 11324
1780257495.817661172,770, 11324
1780257496.857757349,754, 11340
1780257497.910680678,783, 11311
1780257498.948642364,783, 11311
1780257499.989760959,756, 11338
1780257501.034245789,754, 11340
1780257502.078660236,754, 11340
1780257503.119603026,754, 11340
1780257504.162598135,783, 11311
1780257505.210530333,769, 11325
1780257506.249829957,783, 11311
1780257507.291293450,783, 11311
1780257508.349595900,769, 11325
1780257509.391046101,756, 11338
1780257510.432893386,769, 11325
1780257511.477104071,767, 11327
1780257512.520964472,753, 11341
1780257513.564294274,767, 11327
1780257514.607054229,974, 11120
1780257515.662294904,996, 11098
1780257516.707267062,977, 11117
1780257517.746546831,991, 11103
1780257518.788225021,991, 11103
1780257519.831900616,977, 11117
1780257520.874414936,977, 11117
1780257521.916017806,1037, 11057
1780257522.956832833,1023, 11071
1780257524.007251311,1009, 11085
1780257525.046939091,4898, 7196
1780257526.090615223,4885, 7209
1780257527.132724769,4901, 7193
1780257528.179404756,4907, 7187
1780257529.219151096,4928, 7166
1780257530.329603565,4944, 7150
1780257531.371573682,4927, 7167
1780257532.418011673,4944, 7150
1780257533.458937298,4960, 7134
1780257534.501971315,4260, 7834
1780257535.545208185,4263, 7831
1780257536.590344734,4462, 7632
1780257537.629170615,4483, 7611
1780257538.669750569,4496, 7598
1780257539.705828762,4496, 7598
1780257540.747581867,4483, 7611
